id,name,phone,domain,address
909,Twitterbridge,920-815-6840,n/a,03942 Swallow Center
910,Fliptune,586-669-6876,Technology,8 Carioca Circle
911,Gabtune,787-981-2659,Capital Goods,925 Stoughton Circle
912,Devcast,505-657-6165,Finance,565 Carpenter Plaza
913,Zoomlounge,533-134-8373,Basic Industries,091 Carpenter Trail
914,Centimia,275-864-0992,Health Care,3 Shelley Junction
915,Quinu,724-804-1936,n/a,2 Cottonwood Alley
916,Meevee,402-218-2749,Finance,03 Clyde Gallagher Crossing
917,Layo,624-955-8789,Public Utilities,961 Bay Junction
918,Photobug,501-309-4168,Public Utilities,9517 Village Green Circle
919,Tagfeed,573-384-5846,Health Care,5245 Warbler Crossing
920,Plambee,726-536-5088,Transportation,020 Del Mar Court
921,Yacero,187-598-1416,n/a,6 Pankratz Terrace
922,Kwinu,374-990-2341,Technology,6558 Roth Pass
923,Lazz,912-262-2410,Basic Industries,2930 Spaight Crossing
924,Twinte,804-946-6864,Health Care,5505 Fieldstone Circle
925,Topicstorm,278-590-7191,Finance,3 Ridgeway Parkway
926,Brainverse,603-104-8560,n/a,24 Hintze Drive
927,Feedmix,965-227-4449,Health Care,3236 David Pass
928,Riffpedia,380-187-5520,Miscellaneous,8846 Express Lane
929,Vinte,544-196-9710,Public Utilities,0608 Dahle Place
930,Mymm,781-213-5918,Finance,5718 Pawling Point
931,Meevee,817-808-9754,Capital Goods,7 Fremont Junction
932,Twitternation,682-178-8905,n/a,72 Kings Avenue
933,Cogidoo,470-964-6106,n/a,52767 Onsgard Point
934,Brightdog,352-160-9619,n/a,25 Nova Terrace
935,Eare,915-251-7570,Technology,1 Hallows Pass
936,Photospace,376-715-9394,Technology,71 Lunder Point
937,Fiveclub,916-325-7779,Health Care,81536 Carey Park
938,Aibox,267-690-6316,Finance,66 Clarendon Center
939,Dabjam,561-667-3722,Finance,3079 Sundown Pass
940,Oloo,909-932-6793,Finance,00778 Crest Line Street
941,Trunyx,676-529-8342,n/a,0 Mallory Hill
942,Realpoint,538-714-0922,Energy,028 Scoville Trail
943,Avamm,809-259-2870,Consumer Services,60 Park Meadow Drive
944,Jetwire,176-226-2366,n/a,935 Maple Crossing
945,Skyba,217-925-9037,Finance,612 Delladonna Park
946,Trudoo,287-524-4943,n/a,5 Portage Lane
947,Vinder,824-251-2939,Energy,7 Ridgeview Circle
948,Vinder,173-870-2564,Finance,7613 Johnson Road
949,Layo,809-536-6091,Technology,89 Jenna Hill
950,Realblab,165-417-1507,Public Utilities,52 Rowland Way
951,Jabberstorm,419-587-4688,Consumer Non-Durables,6074 Banding Hill
952,Camido,615-809-2643,Capital Goods,8363 Northland Park
953,Quaxo,483-321-1027,Public Utilities,90235 2nd Avenue
954,Trudeo,722-648-6607,Basic Industries,41446 Mallard Court
955,Jayo,780-631-5488,Technology,98 Dakota Plaza
956,Gabtype,545-135-4764,Finance,67 Chinook Lane
957,Trudoo,507-540-8492,n/a,15 Boyd Lane
958,Blogspan,427-649-9162,Consumer Services,80 Pearson Place
959,Yozio,925-220-7127,Finance,4 Dakota Trail
960,Youfeed,190-492-3785,Energy,1059 Bay Road
961,Youfeed,777-773-4595,Public Utilities,40 Moose Way
962,Edgepulse,566-599-1312,Technology,52 Transport Terrace
963,Jabbersphere,110-142-1653,Health Care,9 Vernon Lane
964,Thoughtbeat,134-582-9572,Health Care,1 Mesta Junction
965,Topdrive,570-589-8714,Capital Goods,8449 2nd Point
966,Twitterbeat,424-860-3847,Public Utilities,31454 Dexter Pass
967,Feedspan,652-844-4961,Basic Industries,77802 Emmet Point
968,Zoomlounge,697-231-2480,Health Care,405 Talisman Lane
969,Edgetag,926-197-3143,Technology,772 Bayside Alley
970,Jaxbean,931-759-6655,Consumer Services,11626 Steensland Circle
971,Yodel,202-515-7985,Health Care,731 Barnett Avenue
972,Zoomzone,270-659-0930,Health Care,1679 Russell Center
973,Youspan,286-183-9096,n/a,22 Summerview Point
974,Yodoo,678-854-7145,n/a,9 Waywood Alley
975,Blogpad,555-777-8610,n/a,4914 Monterey Parkway
976,Browsezoom,567-102-0196,Finance,13 Esker Road
977,Yacero,394-127-2848,Consumer Non-Durables,8 Kensington Plaza
978,Leexo,589-355-0573,Basic Industries,647 Manufacturers Road
979,Yacero,901-346-0016,Consumer Services,29391 Nevada Avenue
980,Topdrive,407-414-3807,n/a,72 Aberg Trail
981,Gabtune,767-270-1834,Basic Industries,60892 Corben Park
982,Trilia,492-975-4206,n/a,81975 Stone Corner Pass
983,Photobug,978-126-4896,Finance,026 Lien Junction
984,Browsebug,443-186-3262,Finance,798 Comanche Drive
985,Photojam,395-379-8828,Finance,8 Forest Dale Road
986,Rooxo,675-471-1760,n/a,7 West Drive
987,Edgetag,982-215-3465,Consumer Services,166 Sunnyside Road
988,Tagopia,334-817-2297,Health Care,3 Melody Avenue
989,Talane,842-812-5482,n/a,57 Pleasure Alley
990,Roodel,958-190-6606,n/a,550 Cardinal Place
991,Twitterlist,881-464-8399,Finance,188 Tennessee Alley
992,JumpXS,240-956-8899,Technology,85168 Merry Plaza
993,Tagtune,864-437-9733,Finance,3326 Bayside Avenue
994,Skinix,323-896-3119,n/a,10 Sullivan Road
995,Quire,618-956-3283,Finance,8 Mandrake Way
996,Realcube,392-579-8383,n/a,2327 Coleman Center
997,Innojam,615-842-0905,Technology,34 Union Park
998,Jazzy,343-942-2281,Health Care,378 Bonner Junction
999,Realpoint,821-751-1219,Capital Goods,81476 Prairieview Pass
1000,Meeveo,486-341-1380,Capital Goods,46 Brickson Park Junction
